,0
0,48037.99889591336
1,47955.0320925042
2,47955.41806932877
3,47954.30603298647
4,47952.89990810982
5,47953.14008825831
6,47951.72430381077
7,47952.14313015545
8,47950.75794037296
9,47950.6796191836
10,47949.886251810596
11,47948.7075003074
12,47948.677041613584
13,47948.69714413109
14,47947.26820696247
15,47947.469663077456
16,47945.83897058124
17,47945.51631569117
18,47944.96958353777
19,47944.000619815495
20,47944.31779107926
21,47942.972772357476
22,47942.437464942646
23,47941.905767907476
24,47941.02620718493
25,47941.74334467338
26,47939.86823797328
27,47939.7279535935
28,47938.53706508096
29,47938.54629346593
30,47937.688422356645
31,47937.06845890561
32,47937.07624731247
33,47935.791628244246
34,47936.288952024144
35,47934.845195949754
36,47934.38374668935
37,47933.896468409424
38,47932.656966884366
39,47932.81659698825
40,47932.03454030068
41,47931.30193944783
42,47930.51437642256
43,47930.98425650326
44,47929.78139556402
45,47929.15190617943
46,47927.94155571542
47,47927.65744630654
48,47927.01110051979
49,47926.94318757274
50,47926.08043161407
51,47925.58718514205
52,47925.07658573037
53,47924.245481355625
54,47923.28815129061
55,47923.61056766524
56,47922.258113669064
57,47922.309673762116
58,47921.42793635482
59,47920.527444380925
60,47920.32318522815
61,47919.48925763978
62,47918.53451143899
63,47918.12722358582
64,47917.77235837078
65,47916.560195149345
66,47915.69865526056
67,47915.882812078366
68,47915.36908800697
69,47914.43013255569
70,47913.887647943404
71,47913.68759185313
72,47912.941092806104
73,47911.817710977724
74,47910.988894097165
75,47910.700423976574
76,47910.78136344559
77,47909.59233965149
78,47908.40635598789
79,47907.936754350296
80,47908.27913178266
81,47906.971979677335
82,47906.1784043224
83,47905.98849135807
84,47904.78514208272
85,47904.44254340502
86,47904.509518052364
87,47903.71024314687
88,47902.530311458155
89,47902.049769882455
90,47901.74966620078
91,47900.814020375634
92,47900.54733494771
93,47899.29182000763
94,47899.78139171461
95,47898.36735394055
96,47897.99566238712
97,47898.66407061368
98,47896.69936236942
99,47895.92332852141
100,47895.95003516667
101,47894.619220221924
102,47894.848710065875
103,47893.70780622654
104,47892.65836412934
105,47893.09718972885
106,47893.22432341088
107,47891.52704545923
108,47890.77229533379
109,47890.715702560476
110,47890.42999427664
111,47889.76961508021
112,47888.29793736322
113,47887.555643202904
114,47887.50624165718
115,47887.15461778979
116,47885.629506127065
117,47885.87162768739
118,47886.06190758233
119,47884.26133105413
120,47883.32686195218
121,47884.10220538012
122,47882.67890372093
123,47882.26225101541
124,47881.642889449206
125,47880.89874133705
126,47880.47103475
127,47879.449407504704
128,47879.941361044956
129,47878.217456789855
130,47878.331157298926
131,47877.2056279853
132,47877.21355140074
133,47876.188440080055
134,47875.97598907182
135,47874.88607353683
136,47875.10918083279
137,47874.05602424287
138,47873.711934395134
139,47873.90260656618
140,47872.16833248464
141,47872.37923897498
142,47870.291887154635
143,47870.87130387263
144,47869.505959246984
145,47869.36654646762
146,47868.4070766431
147,47868.02643145993
148,47866.90319645913
149,47866.907004390254
150,47865.73055456511
151,47865.828632039105
152,47864.78365834362
153,47864.40120221945
154,47863.90315449712
155,47862.92179200307
156,47862.77920221368
157,47862.34585595233
158,47861.42013999752
159,47860.82275959917
160,47860.23996110904
161,47859.7548103915
162,47858.480910223996
163,47858.47856367312
164,47857.87518131428
165,47857.137129858136
166,47856.51879497448
167,47855.89569528536
168,47854.98688541183
169,47854.785581923
170,47853.44464670562
171,47853.55188295787
172,47852.56575636058
173,47852.74338405444
174,47852.66889614002
175,47850.785304880956
176,47850.17273266241
177,47850.46924949302
178,47850.08231673457
179,47848.9667118168
180,47848.444306617435
181,47848.065775942734
182,47846.9046751254
183,47846.16902803562
184,47845.31512923268
185,47844.96013617041
186,47845.23612643101
187,47844.032165686345
188,47844.18420856886
189,47843.62149261108
190,47843.07545681603
191,47842.77745525674
192,47841.66983533227
193,47840.976074871694
194,47840.751855032686
195,47840.685607660904
196,47839.977704756304
197,47838.58873778717
198,47837.74491835656
199,47837.39631578191
200,47837.24943239682
201,47837.26651025699
202,47836.217575447125
203,47835.539072555235
204,47834.41097459231
205,47833.70326805758
206,47833.40619243986
207,47833.30724321627
208,47832.5601491708
209,47831.22302542932
210,47830.26469301703
211,47830.20637796481
212,47830.04515513727
213,47829.14840683612
214,47828.332148609516
215,47826.87265492095
216,47827.22770976275
217,47827.19789032909
218,47825.8988950283
219,47825.06300605359
220,47825.21582293815
221,47823.968875995415
222,47822.352479033005
223,47822.77098580788
224,47821.52338313718
225,47821.683252340015
226,47821.1513151496
227,47819.862771509725
228,47819.976418283855
229,47819.23074961894
230,47818.165954846045
231,47816.83431195468
232,47817.39455379546
233,47816.56811493127
234,47815.40110325983
235,47815.126080921764
236,47814.902632135556
237,47814.09947244857
238,47813.328260538256
239,47812.49999564209
240,47811.52470942756
241,47811.63504461944
242,47811.01890442893
243,47810.049981244585
244,47809.6831930825
245,47809.36937328021
246,47808.114252411506
247,47806.951515855435
248,47807.011415903544
249,47806.449652737516
250,47805.943308869886
251,47805.19316161508
252,47803.94018563526
253,47804.107703088695
254,47803.10882661085
255,47802.2744898217
256,47801.86465510658
257,47801.00989984484
258,47800.823613149536
259,47800.09659928151
260,47799.54610575228
261,47799.131633025005
262,47798.24685491977
263,47797.00073141469
264,47796.9378785325
265,47796.67128514329
266,47795.87270822511
267,47795.07418152622
268,47794.642349109396
269,47794.457439197904
270,47793.25802597031
271,47792.38832865791
272,47792.01358202134
273,47791.93819200586
274,47790.55554208972
275,47789.868933423335
276,47789.554557011885
277,47788.66183389148
278,47788.935117682275
279,47787.30780741894
280,47786.778671315784
281,47786.90361747213
282,47785.94629813765
283,47785.02950198136
284,47785.582844178105
285,47784.28895402429
286,47783.0843803781
287,47782.817339094865
288,47781.65834144063
289,47781.90001705627
290,47779.920501960274
291,47781.08037667789
292,47780.18904943189
293,47778.75144590099
294,47779.31706295975
295,47777.460914615884
296,47777.029720877385
297,47776.38238121027
298,47775.940710397605
299,47775.16975831376
300,47775.44782776944
301,47775.15387867967
302,47774.36742200838
303,47772.92424685203
304,47772.31934693083
305,47771.15027227422
306,47770.63558084518
307,47771.38750617104
308,47769.512239481744
309,47768.84731949968
310,47768.489928597075
311,47767.66518760811
312,47767.678955815056
313,47767.154770426794
314,47766.84882447158
315,47765.73673457652
316,47764.92078224434
317,47763.94953387705
318,47763.70988175239
319,47763.643587200815
320,47762.95558558066
321,47762.07782607932
322,47760.58303884722
323,47760.13679019192
324,47760.075073288586
325,47759.78013797172
326,47759.308217617596
327,47758.417659755454
328,47757.85372776538
329,47757.13951814242
330,47756.57080658728
331,47755.9030040384
332,47755.076609331096
333,47753.886213687336
334,47753.442402059045
335,47753.250690744346
336,47753.156167859044
337,47752.17365096882
338,47750.84039278396
339,47751.151463534006
340,47750.54574395614
341,47749.82509210452
342,47748.81715717912
343,47748.48715099828
344,47747.39532998069
345,47747.38108918376
346,47746.72239163653
347,47745.9184447913
348,47745.265477346424
349,47744.184383455664
350,47744.1823031628
351,47743.71204067767
352,47742.84753733298
353,47742.19650530104
354,47741.30244951661
355,47740.76756115055
356,47740.36081511984
357,47740.15982374515
358,47738.82204210589
359,47738.58181134747
360,47737.864199835465
361,47737.392402711914
362,47736.733686659485
363,47736.45856639573
364,47735.552317019894
365,47735.24958389591
366,47734.242661816155
367,47733.70884319124
368,47733.52389495447
369,47733.529618739405
370,47731.889252721245
371,47731.76821975512
372,47731.06849738786
373,47730.823513231495
374,47730.083390361884
375,47728.939097582275
376,47729.0429062315
377,47727.68750717796
378,47727.460811732504
379,47727.34397084977
380,47726.40603960881
381,47725.66554324295
382,47724.63225292347
383,47723.831533425575
384,47724.49592332677
385,47723.337052367286
386,47721.77990834889
387,47721.595042834226
388,47721.40104073489
389,47721.156770803376
390,47720.907658612865
391,47719.125410801986
392,47718.48878644982
393,47718.61111210761
394,47718.21542891081
395,47717.43838767437
396,47716.19977010279
397,47715.332498780364
398,47715.62914451347
399,47714.99374327352
400,47713.936154528776
401,47713.436960565436
402,47713.78281769258
403,47711.81044170091
404,47711.594105721706
405,47711.200784833934
406,47710.09842121466
407,47711.627171137116
408,47710.33679480546
409,47708.78141428107
410,47709.3273793994
411,47708.31155050343
412,47707.08612698638
413,47706.39551933279
414,47706.636544366454
415,47706.09701872414
416,47704.71735636145
417,47703.949520817536
418,47704.41639330204
419,47702.94825772704
420,47702.37052137472
421,47702.020470481366
422,47701.57747358541
423,47700.323409167206
424,47700.40578708459
425,47699.665814317086
426,47698.9189063822
427,47698.251816598866
428,47698.11875617606
429,47696.703967428344
430,47696.15092783794
431,47695.75838669965
432,47695.49131667479
433,47695.07796659591
434,47694.22772628035
435,47692.93851298432
436,47692.393590760505
437,47691.98364032619
438,47691.689552805976
439,47691.479718734256
440,47690.80702173405
441,47690.193920641796
442,47689.03541489572
443,47688.56854440102
444,47688.680315715006
445,47687.60155259107
446,47687.51076477732
447,47685.99169189821
448,47685.386183661496
449,47685.33742761612
450,47684.29807327146
451,47683.4726800475
452,47683.298808525906
453,47682.63119123571
454,47681.63198868388
455,47681.14622764967
456,47680.76947917552
457,47679.57773572613
458,47679.59479792721
459,47678.75329418074
460,47678.55267720635
461,47677.51313459433
462,47676.85136937045
463,47676.46638710492
464,47675.488801219246
465,47675.006686959416
466,47674.645483341745
467,47673.82817232998
468,47673.218520808965
469,47672.794921820816
470,47672.520736583596
471,47671.063557625836
472,47670.12837024575
473,47670.29185167802
474,47669.49243671345
475,47669.42676836252
476,47667.70789292387
477,47667.07495360042
478,47665.90473703397
479,47666.20665301213
480,47666.12268309397
481,47665.214608020404
482,47664.17719299888
483,47663.87426302175
484,47663.6558411565
485,47663.259409492326
486,47661.64588539438
487,47661.018162167886
488,47661.6901525022
489,47660.81384493953
490,47659.28858578781
491,47659.61301683059
492,47658.731634447184
493,47657.578197816554
494,47657.65188692527
495,47656.86438301951
496,47655.81745583971
497,47655.653957629744
498,47654.50093729387
499,47655.30475106937
500,47653.44422153248
501,47653.470534235916
502,47651.89569567601
503,47652.37387394143
504,47650.70172784494
505,47651.32760365815
506,47649.78641233559
507,47649.72093390639
508,47649.04521266473
