x,y,z,w,name,room,bedroom,livingroom,kitchen,bathroom,game_dateandtime,timestamp,hygiene,hunger,bladder,social,energy,fun,elapsed_time,hour,minute,weekday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:58 PM,12/20/2024 15:38:12,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50326.4,13.97956,58.77338,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:58 PM,12/20/2024 15:38:12,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50331.2,13.98089,58.85333,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:58 PM,12/20/2024 15:38:12,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50336,13.98222,58.93335,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:59 PM,12/20/2024 15:38:12,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50340.8,13.98356,59.01337,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:59 PM,12/20/2024 15:38:12,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50342.4,13.984,59.04004,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:59 PM,12/20/2024 15:38:13,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50350.4,13.98622,59.17334,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 1:59 PM,12/20/2024 15:38:13,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50382.4,13.99511,59.70666,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,56.10851,26.11042,1.411189,99.55627,16.96879,4.26846,50401.6,14.00044,0.02667236,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,56.10851,25.67042,0.785408,99.55627,16.96879,4.26846,50411.2,14.00311,0.1867065,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50422.4,14.00622,0.3733521,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50428.8,14.008,0.4800415,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50436.8,14.01022,0.6133423,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50440,14.01111,0.666687,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50441.6,14.01156,0.6933594,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50446.4,14.01289,0.7733765,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50449.6,14.01378,0.8266602,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:00 PM,12/20/2024 15:38:13,55.92226,25.67042,0.785408,99.55705,16.57765,3.994681,50456,14.01556,0.9333496,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50460.8,14.01689,1.013367,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50465.6,14.01822,1.093384,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50470.4,14.01956,1.17334,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50475.2,14.02089,1.253357,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50480,14.02222,1.333374,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50484.8,14.02356,1.41333,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50489.6,14.02489,1.493347,Sunday
1128.871,45.89624,1029.177,1,Paolo test,Bedroom,1,0,0,0,Sun. at 2:01 PM,12/20/2024 15:38:13,55.85666,25.51542,0.5649652,99.55733,16.43986,3.898237,50499.2,14.02756,1.653381,Sunday
